replica,escenario,etapa,mediana,p95,red_total,demora_semaforos_total_s
0,base,OSRM,587.8,861.3199999999994,2648484.0999999996,519274.5949482913
0,base,OSRM / velocidad,551.5949533466099,987.5210318721125,2708033.56175783,519274.5949482913
0,base,BPR / velocidad,551.6969392103925,988.0577195789124,2708592.720449766,519274.5949482913
0,base,BPR / velocidad + semáforos,651.7527787172303,1195.7782849125383,3227867.315398057,519274.5949482913
0,vista_hermosa,OSRM,878.1,1193.4,3615337.0999999996,876788.002288309
0,vista_hermosa,OSRM / velocidad,791.7694016171097,1407.2177200410658,3698764.993877864,876788.002288309
0,vista_hermosa,BPR / velocidad,796.1448770601862,1411.379740137119,3717944.9759078356,876788.002288309
0,vista_hermosa,BPR / velocidad + semáforos,1018.5770640426657,1762.0519164612233,4594732.978196144,876788.002288309
0,reforma,OSRM,587.8,868.4,2669511.9000000004,501931.6594865075
0,reforma,OSRM / velocidad,556.1037641977001,994.7544997004862,2729389.027710047,501931.6594865075
0,reforma,BPR / velocidad,556.1432946493762,995.1451440748875,2730116.128093859,501931.6594865075
0,reforma,BPR / velocidad + semáforos,648.6362034244539,1228.3029300306655,3232047.787580367,501931.6594865075
1,base,OSRM,590.3,862.4,2653251.6,508592.7952383307
1,base,OSRM / velocidad,556.1087363916964,999.5586592326416,2715614.6081727156,508592.7952383307
1,base,BPR / velocidad,556.2739594694882,1000.311163759969,2716368.536064148,508592.7952383307
1,base,BPR / velocidad + semáforos,650.4724578356158,1224.9875254784822,3224961.3313024784,508592.7952383307
1,vista_hermosa,OSRM,866.7,1200.6,3603980.8,859189.3206784739
1,vista_hermosa,OSRM / velocidad,795.2387430058326,1427.1394678627057,3689912.9182257196,859189.3206784739
1,vista_hermosa,BPR / velocidad,798.5641724294431,1434.8266444797255,3705267.935051465,859189.3206784739
1,vista_hermosa,BPR / velocidad + semáforos,1016.5744137112907,1755.4489950380873,4564457.255729939,859189.3206784739
1,reforma,OSRM,590.3,873.4,2675191.7,483424.24341673567
1,reforma,OSRM / velocidad,560.3264691632946,1012.3777331132493,2738351.688457026,483424.24341673567
1,reforma,BPR / velocidad,560.4295015810908,1012.9170354050427,2739264.0734155336,483424.24341673567
1,reforma,BPR / velocidad + semáforos,647.0727600311546,1247.3883399045237,3222688.316832269,483424.24341673567
2,base,OSRM,590.3499999999999,859.925,2659622.8,516314.5644462178
2,base,OSRM / velocidad,547.8410800246131,990.680985690662,2723553.4785402343,516314.5644462178
2,base,BPR / velocidad,547.9037054737498,991.2882244466202,2724168.3899819907,516314.5644462178
2,base,BPR / velocidad + semáforos,654.8845257426401,1221.9619303053514,3240482.9544282085,516314.5644462178
2,vista_hermosa,OSRM,868.4000000000001,1199.3,3618335.4,866067.7597954439
2,vista_hermosa,OSRM / velocidad,790.0859698385043,1417.1999875807428,3701150.7448574314,866067.7597954439
2,vista_hermosa,BPR / velocidad,794.7830492148623,1425.2635227584506,3719548.9164184597,866067.7597954439
2,vista_hermosa,BPR / velocidad + semáforos,1009.6089063357786,1757.205642738886,4585616.676213903,866067.7597954439
2,reforma,OSRM,590.3499999999999,868.4,2680316.0,493826.1353683779
2,reforma,OSRM / velocidad,551.507266766965,1001.6593043806827,2744892.157152429,493826.1353683779
2,reforma,BPR / velocidad,551.7194837387781,1001.9070659080703,2745681.773794301,493826.1353683779
2,reforma,BPR / velocidad + semáforos,650.133094274765,1241.390863202313,3239507.9091626788,493826.1353683779
3,base,OSRM,589.7,868.1,2698522.7,523384.7829856622
3,base,OSRM / velocidad,554.519987338764,996.6627754520665,2763039.7676013233,523384.7829856622
3,base,BPR / velocidad,554.6157414882509,996.7736096866546,2763739.713442472,523384.7829856622
3,base,BPR / velocidad + semáforos,658.5759985404367,1214.0152783065541,3287124.496428134,523384.7829856622
3,vista_hermosa,OSRM,879.0,1184.5,3665649.9,879470.2664214231
3,vista_hermosa,OSRM / velocidad,793.3690492376955,1416.4007789150098,3756601.768349914,879470.2664214231
3,vista_hermosa,BPR / velocidad,798.2349401148812,1429.6732641601714,3778736.2275015735,879470.2664214231
3,vista_hermosa,BPR / velocidad + semáforos,1018.4136326564209,1755.5703686228094,4658206.493922996,879470.2664214231
3,reforma,OSRM,589.7,879.1,2720695.2,492775.4814034257
3,reforma,OSRM / velocidad,557.249393435564,1005.9487631921627,2785861.653356346,492775.4814034257
3,reforma,BPR / velocidad,557.3508624066304,1006.6798278960835,2786766.4783970015,492775.4814034257
3,reforma,BPR / velocidad + semáforos,652.3098737537301,1232.0008109366338,3279541.959800427,492775.4814034257
4,base,OSRM,592.4,862.4,2699501.5999999996,529747.0363964078
4,base,OSRM / velocidad,557.631275225882,985.6646827468941,2762945.1594926314,529747.0363964078
4,base,BPR / velocidad,557.7806789360181,985.9287773787456,2763699.3955419944,529747.0363964078
4,base,BPR / velocidad + semáforos,660.3952781059743,1207.9955420065394,3293446.431938402,529747.0363964078
4,vista_hermosa,OSRM,879.0,1200.6,3697456.9000000004,887337.4626709959
4,vista_hermosa,OSRM / velocidad,805.0794232527066,1421.1833510252475,3781904.373529579,887337.4626709959
4,vista_hermosa,BPR / velocidad,808.5080908433492,1430.1704223021375,3798599.259267349,887337.4626709959
4,vista_hermosa,BPR / velocidad + semáforos,1019.0519436874193,1758.9028943146764,4685936.721938344,887337.4626709959
4,reforma,OSRM,592.4,868.4,2720917.8000000003,506617.09531028103
4,reforma,OSRM / velocidad,559.1796547964177,993.0886401781921,2784661.7036797544,506617.09531028103
4,reforma,BPR / velocidad,559.5394633257663,993.143495397892,2785647.9676202014,506617.09531028103
4,reforma,BPR / velocidad + semáforos,653.0205949226581,1225.8670097797394,3292265.0629304824,506617.09531028103
5,base,OSRM,597.1,862.4,2618709.9000000004,506762.11580000696
5,base,OSRM / velocidad,555.5382412272172,994.4316333009344,2681280.135519388,506762.11580000696
5,base,BPR / velocidad,555.6298310553375,994.6319242011973,2681720.291108588,506762.11580000696
5,base,BPR / velocidad + semáforos,658.3914002264121,1205.7654585820326,3188482.4069085955,506762.11580000696
5,vista_hermosa,OSRM,881.7,1199.3,3566023.1999999997,867782.9663957224
5,vista_hermosa,OSRM / velocidad,802.2496689472447,1439.3246576084598,3655679.941129327,867782.9663957224
5,vista_hermosa,BPR / velocidad,805.3343255775208,1443.9560580637494,3670687.7759303325,867782.9663957224
5,vista_hermosa,BPR / velocidad + semáforos,1028.7286732118932,1765.9534673861344,4538470.742326055,867782.9663957224
5,reforma,OSRM,597.1,868.4,2639435.1,483505.51849343884
5,reforma,OSRM / velocidad,557.7610838145797,1008.6369665968903,2702567.830772505,483505.51849343884
5,reforma,BPR / velocidad,557.8144058776279,1008.6617295596102,2703177.7217892213,483505.51849343884
5,reforma,BPR / velocidad + semáforos,654.3560141184673,1222.3170264914456,3186683.2402826604,483505.51849343884
6,base,OSRM,586.3,862.4,2652410.3,515035.4363806977
6,base,OSRM / velocidad,543.0739321772153,982.1909033902557,2697594.327779135,515035.4363806977
6,base,BPR / velocidad,543.1073451352493,982.4388071625892,2698130.4937346717,515035.4363806977
6,base,BPR / velocidad + semáforos,645.9395858617604,1202.739817784606,3213165.9301153696,515035.4363806977
6,vista_hermosa,OSRM,878.6,1202.6,3642899.4000000004,869584.2431079394
6,vista_hermosa,OSRM / velocidad,791.1434393878262,1448.4124519757609,3705429.9030360808,869584.2431079394
6,vista_hermosa,BPR / velocidad,795.3103121935123,1453.9885886243349,3721360.340271545,869584.2431079394
6,vista_hermosa,BPR / velocidad + semáforos,1015.5209063959705,1789.115344131823,4590944.583379485,869584.2431079394
6,reforma,OSRM,587.4,869.5,2673588.5,496845.9468886603
6,reforma,OSRM / velocidad,546.685921914041,991.8352536563343,2719090.57682562,496845.9468886603
6,reforma,BPR / velocidad,546.7677952337995,991.9228365480948,2719744.290771018,496845.9468886603
6,reforma,BPR / velocidad + semáforos,638.4396242821731,1231.4357572765678,3216590.237659678,496845.9468886603
7,base,OSRM,587.8,868.4,2673820.0,509134.96522485936
7,base,OSRM / velocidad,548.4717797290045,971.4657501251638,2723574.278583753,509134.96522485936
7,base,BPR / velocidad,548.5679763499073,971.554226215683,2724232.309557007,509134.96522485936
7,base,BPR / velocidad + semáforos,643.0102484304866,1190.7941027536808,3233367.274781866,509134.96522485936
7,vista_hermosa,OSRM,870.1,1199.3,3630351.0999999996,859952.3097608103
7,vista_hermosa,OSRM / velocidad,784.1969815697039,1409.462787049435,3700067.9552199254,859952.3097608103
7,vista_hermosa,BPR / velocidad,789.4890855219239,1412.8640681772029,3716187.720258777,859952.3097608103
7,vista_hermosa,BPR / velocidad + semáforos,999.3173328862777,1769.6608156933348,4576140.030019587,859952.3097608103
7,reforma,OSRM,587.8,884.2,2696190.8,493385.9583257454
7,reforma,OSRM / velocidad,552.4381814756237,984.7350000595441,2746324.3352481546,493385.9583257454
7,reforma,BPR / velocidad,552.4912036879962,984.949164420163,2747120.544868987,493385.9583257454
7,reforma,BPR / velocidad + semáforos,641.920004237234,1212.9451122653559,3240506.5031947326,493385.9583257454
8,base,OSRM,590.4,868.1,2816970.5999999996,542186.9665302505
8,base,OSRM / velocidad,555.5442508325486,997.9646360731078,2877373.6571835596,542186.9665302505
8,base,BPR / velocidad,555.6913784251758,998.6933154409757,2878314.81704655,542186.9665302505
8,base,BPR / velocidad + semáforos,653.9530854464037,1209.728401524551,3420501.7835768005,542186.9665302505
8,vista_hermosa,OSRM,871.4,1200.6,3830793.0,920604.9360123494
8,vista_hermosa,OSRM / velocidad,799.0943949062835,1425.1449907613319,3915132.9034826895,920604.9360123494
8,vista_hermosa,BPR / velocidad,805.1621347851044,1430.8615784544918,3940149.2735782736,920604.9360123494
8,vista_hermosa,BPR / velocidad + semáforos,1025.15538218171,1765.6070237717474,4860754.209590623,920604.9360123494
8,reforma,OSRM,590.4,873.4,2839307.7,518546.2626630599
8,reforma,OSRM / velocidad,557.6302600846835,1005.210715368555,2900147.7056962745,518546.2626630599
8,reforma,BPR / velocidad,557.888519533588,1005.6898797526121,2901322.2142968085,518546.2626630599
8,reforma,BPR / velocidad + semáforos,648.785897538614,1241.3918485573518,3419868.4769598683,518546.2626630599
9,base,OSRM,590.3,861.2,2725126.3,527814.7989279974
9,base,OSRM / velocidad,550.6676548127086,997.6232867365666,2777935.366562092,527814.7989279974
9,base,BPR / velocidad,550.8152475888093,997.7813110482713,2778635.4979979824,527814.7989279974
9,base,BPR / velocidad + semáforos,648.1742114796173,1216.9798102526809,3306450.2969259797,527814.7989279974
9,vista_hermosa,OSRM,865.6,1193.4,3705765.3000000003,883274.0072407259
