410405060,410405061,0
410405060,8881150773,0
410405061,410405060,0
410405090,410405091,0
410405090,13521060680,0
410405091,410405090,0
410405091,13521060686,0
410407928,3820122586,0
410414371,476530610,0
410414411,476530565,0
410414411,476530608,0
410414412,476530525,0
410414412,9524954884,0
410453366,4029058302,0
410453366,9524954884,0
410453778,3830261561,0
410453778,11583024563,0
410455570,516392119,0
410455570,7053041065,0
411826912,5005774499,0
411826912,8881150773,0
412196438,10915191638,0
412196438,10915191640,0
412196554,516392066,0
412196554,9701091907,0
476530419,7047782031,0
476530419,10915191639,0
476530525,410414412,0
476530525,476530608,0
476530565,410414411,0
476530607,476530612,0
476530607,9524954890,0
476530608,410414411,0
476530608,476530525,0
476530610,410414371,0
476530610,476530612,0
476530612,476530607,0
476530612,476530610,0
481805126,4026532936,0
481805126,7047752412,0
481805128,481805139,0
481805128,4029076274,0
481805137,3835760571,0
481805137,4026532936,0
481805139,481805128,0
481805139,1507538281,0
516392066,412196554,0
516392066,10915191640,0
516392069,3830261570,0
516392069,4026495401,0
516392074,516392077,0
516392074,3830261564,0
516392077,516392074,0
516392077,516392101,0
516392101,516392077,0
516392101,4026495402,0
516392110,4026495402,0
516392110,6037882604,0
516392119,410455570,0
516392119,3835760559,0
516392127,516392128,0
516392127,7047752412,0
516392128,516392127,0
516392128,9524954890,0
1507538281,481805139,0
1507538281,3835760559,0
1507538284,3835760571,0
1507538284,7053041076,0
3817151340,5005774507,0
3817151340,7047479088,0
3817151345,5005774499,0
3817151345,7047782031,0
3820122586,410407928,0
3820122587,6037880180,0
3820122587,7053041076,0
3820122589,3820122590,0
3820122589,11583024563,0
3820122590,3820122589,0
3820122590,7053041065,0
3830261561,410453778,0
3830261561,4026335926,0
3830261564,516392074,0
3830261564,3830261570,0
3830261570,516392069,0
3830261570,3830261564,0
3835760559,516392119,0
3835760559,1507538281,0
3835760571,481805137,0
3835760571,1507538284,0
4026335921,4026335922,0
4026335921,6661688378,0
4026335922,4026335921,0
4026335922,10915191637,0
4026335926,3830261561,0
4026335926,11507940633,0
4026489390,5005774505,0
4026489390,9701091907,0
4026495401,516392069,0
4026495401,10915191638,0
4026495402,516392101,0
4026495402,516392110,0
4026532936,481805126,0
4026532936,481805137,0
4029058302,410453366,0
4029058302,4029076274,0
4029076274,481805128,0
4029076274,4029058302,0
5005774499,411826912,0
5005774499,3817151345,0
5005774505,4026489390,0
5005774505,5005774507,0
5005774507,3817151340,0
5005774507,5005774505,0
6037880180,3820122587,0
6037880180,6037882604,0
6037882604,516392110,0
6037882604,6037880180,0
6661688378,4026335921,0
6661688378,10915191639,0
7047479088,3817151340,0
7047479088,13521060685,0
7047752412,481805126,0
7047752412,516392127,0
7047782031,476530419,0
7047782031,3817151345,0
7053041065,410455570,0
7053041065,3820122590,0
7053041076,1507538284,0
7053041076,3820122587,0
8881150773,410405060,0
8881150773,411826912,0
9524954884,410414412,0
9524954884,410453366,0
9524954890,476530607,0
9524954890,516392128,0
9701091907,412196554,0
9701091907,4026489390,0
10915191637,4026335922,0
10915191637,11507906483,0
10915191638,412196438,0
10915191638,4026495401,0
10915191639,476530419,0
10915191639,6661688378,0
10915191640,412196438,0
10915191640,516392066,0
11507906483,10915191637,0
11507906483,11507940636,0
11507940633,4026335926,0
11507940633,11507940636,0
11507940636,11507906483,0
11507940636,11507940633,0
11583024563,410453778,0
11583024563,3820122589,0
11677366333,13521060684,0
13521060680,410405090,0
13521060680,13521060684,0
13521060684,11677366333,0
13521060684,13521060680,0
13521060685,7047479088,0
13521060685,13521060686,0
13521060686,410405091,0
13521060686,13521060685,0
